TIME,Shooter Actual RPM,Right Intern Moter Current,Drivetrain Left Wheel Actual Speed,Battery Voltage,Distance Sensor Raw Voltage,Hopper Spark Left Current,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Shooter Desired RPM,Driver FwdRev Command,Drivetrain Left Wheel Desired Speed,Rotate to Color,Color Needed,Shooter State Command,Raspberry Pi Duration,Right Climber Current,Pneumatics Compressor Current,Hopper Spark Left Cmd,Raspberry Pi Angle,Climber Input Command,Raspberry Pi Stable Target,Hopper Spark Right Cmd,Driver Snail Mode Command,Main Loop Process Duration,Left Climber Current,botDesPoseY,roboRIO CPU Load,botDesPoseX,Distance Sensor Available,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Left Master Moter Current,Pneumatics Cutoff Switch State,Drivetrain Right Motor Output Duty Cycle,Raspberry Pi Framerate,Color Sensor Match Color,Color Sensor Red Intensity,Panel 3.25 spin,Hopper Spark Right Current,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Driver Auto Align Command,DT_Pose_Angle,Intake Speed State,Main Loop Call Period,Shooter Motor 1 Current,Shooter Motor 2 Current,Color Sensor Green Intensity,roboRIO Sys Memory Load,Robot CAN Bus Utilization,Right Master Moter Current,Distance Sensor Distance,Climber Motor Command,Photon Cannon State,Robot Brownout,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,botActPoseT,Drivetrain Desired Heading,Raspberry Pi Visible Target,botActPoseX,botActPoseY,Intake Position State,Battery Current Draw,Drivetrain Left Motor output Duty Cycle,Shooter Control Mode,Driver Rotate Command,Climber Upper Limit Switch,
sec,RPM,Amps,RPM,V,V,Amp,Pct,boolean,intensity,RPM,cmd,RPM,degrees,Color,state,sec,Amp,A,Cmd,deg,cmd,boolean,Cmd,bool,sec,Amp,ft,Pct,ft,bool,mode,deg,Amps,A,psi,RPM,Amps,bool,pct,fps,color,intensity,degrees,Amp,count,RPM,bool,deg,state,sec,A,A,intensity,Pct,pct,Amps,in,cmd,bool,bool,count,boolean,RPM,deg,deg,boolean,ft,ft,state,A,pct,state,cmd,boolean,
61.443493,,0.0,-0.0,12.55,,,,-1.0,0.272705078125,,,0.0,0.0,-1.0,,0.049260854721069336,,0.0,,-20.69038189796996,0.0,1.0,,,0.006779000000001645,0.0,,,,,0.0,,0.0,,-9.136963875,0.0,0.0,0.0,0.0,6.5680085687978,-1.0,0.272705078125,0.0,,169.0,0.0,,-0.28828603559227106,,,,,0.45458984375,,0.3357512950897217,0.0,,0.0,,0.0,150.0,,0.0,,0.0,1.0,,,,0.0,0.0,,,-1.0,
61.463794,,,,,,,,,,,-0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.020301000000003455,,,,,,,,,,,,,,,,,,,,,,,0.0,,
61.464023000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
61.463794,,0.0,-0.0,12.55,,,,-1.0,0.272705078125,,,0.0,0.0,-1.0,,0.049260854721069336,,0.0,,-20.69038189796996,0.0,1.0,,,0.005546000000002493,0.0,,,,,0.0,,0.0,,-9.136963875,0.0,0.0,0.0,0.0,6.5680085687978,-1.0,0.272705078125,0.0,,216.0,0.0,,-0.289984503479939,,,,,0.45458984375,,0.31118568778038025,0.0,,0.0,,0.0,160.0,,0.0,,0.0,1.0,,,,0.0,0.0,,,-1.0,
61.484262,,,,,,,,,,,-0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.02046800000000104,,,,,,,,,,,,,,,,,,,,,,,0.0,,
61.484743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
61.484262,,0.0,-0.0,12.55,,,,-1.0,0.272705078125,,,0.0,0.0,-1.0,,0.049260854721069336,,0.0,,-20.69038189796996,0.0,1.0,,,0.006104000000000553,0.0,,,,,0.0,,0.0,,-9.182740237500001,0.0,0.0,0.0,0.0,6.5680085687978,-1.0,0.272705078125,0.0,,263.0,0.0,,-0.28974822886455437,,,,,0.45458984375,,0.3482232093811035,0.0,,0.0,,0.0,120.0,,0.0,,0.0,1.0,,,,0.0,0.0,,,-1.0,
61.503613,,,,,,,,,,,-0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.01935100000000034,,,,,,,,,,,,,,,,,,,,,,,0.0,,
61.503838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
61.503613,,0.0,-0.0,12.55,,,,-1.0,0.272705078125,,,0.0,0.0,-1.0,,0.049260854721069336,,0.0,,-20.69038189796996,0.0,1.0,,,0.009025000000001171,0.0,,,,,0.0,,0.0,,-9.182740237500001,0.0,0.0,0.0,0.0,6.5680085687978,-1.0,0.272705078125,0.0,,93.0,0.0,,-0.29046948857151406,,,,,0.45458984375,,0.33505433797836304,0.0,,0.0,,0.0,130.0,,0.0,,0.0,1.0,,,,0.0,0.0,,,-1.0,
61.523354,,,,,,,,,,,-0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.019740999999996234,,,,,,,,,,,,,,,,,,,,,,,0.0,,
61.523587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
61.523354,,0.0,-0.0,12.6,,,,-1.0,0.272705078125,,,0.0,0.0,-1.0,,0.049260854721069336,,0.0,,-20.69038189796996,0.0,1.0,,,0.009786000000005401,0.0,,,,,0.0,,0.0,,-9.182740237500001,0.0,0.0,0.0,0.0,6.5680085687978,-1.0,0.272705078125,0.0,,44.0,0.0,,-0.2891586378389134,,,,,0.45458984375,,0.3500121831893921,0.0,,0.0,,0.0,140.0,,0.0,,0.0,1.0,,,,0.0,0.0,,,-1.0,
